Risk ID,Risk Description,Potential Impact,Primary Stack
R01,"In bolt rewrite project, there are two teams (Pod X & development Pods). The task of Pod X team is to ensure there are enough approved stories available so that development pods can pick them up during the upcoming sprints. The risk highlighted here is the inflow of approved stories is less and there is a risk and it can have an impact for the development pods during the upcoming sprints.","Medium - Insufficient approved user stories can lead to development delays and impact sprint execution timelines.","Project Management, Agile"
R02,"Bolt Rewrite & POD X project has started from 1st April 2024 and it is currently with United Finance team for approval. Generally there is a lengthy process at united to get the SoWs approved, hence there is a delay in getting the SoWs approved.","Medium - Delays in SoW approval can cause financial impact and project cost overruns.","Project Management, Agile"
R03,"As part of the BGV process, for 5 resources BGV has highlighted discrepancies. 1 Resource has been offboarded and for the 4 resources the status is in progress. In case if we need to offboard further resources, there will be high impact to the project and there would have an impact with the client confidence.","High - BGV discrepancies requiring resource offboarding can result in reputation loss and financial impact affecting client confidence.","Project Management, Agile"
R04,"EQE team is doing the overall testing for Release 1. EQE team has highlighted they dont have enough bandwidth to complete the testing by 16th August.","Medium - Insufficient testing resources can lead to delays in release completion and margin impact.","Project Management, Agile"
R05,"For Fedex Integration required an Organization account to be setup for higher environment. As of now for development, local accounts are being used. Working with Fedex team to check on this. Without the Fedex Organization account setup we will not be able to deploy the Fedex changes to production environment.","Medium - Lack of Fedex organization account can cause deployment delays and margin impact.","Project Management, Agile"
R06,"Currently for testing WT inbound there is no lower information and BOLT team highlighted that the testing needs to be done in production directly. Which imposes a huge risk to do the testing directly in production environment. Working with Worldtracer team to identify a lower environment for WT inbound testing.","Medium - Absence of test environment for WT inbound integration can lead to production risks and margin impact.","Project Management, Agile"
R07,"United QA team has highlighted they require more time to complete PI-2 testing and they cannot complete within the stipulated timeline. This will delay the UAT testing and eventually impact PI-2 go-live.","Medium - Extended QA testing timeline can delay UAT and impact go-live schedule causing margin impact.","Project Management, Agile"
R08,"Cause: Delay in the United Dev team's delivery of wrapper APIs required for integration. Consequence: EQA completion by 13th Feb will be impacted, potentially delaying the PI-3 release schedule. Contingency: We are having daily check-ins with the United Dev team to track progress. Additionally, we are working with the business team to see if some features (Reopen, Reassign) can be moved to a later PI-3 release (Fast follower release), ensuring that the current PI-3 timeline stays on track.","Medium - Dependency on BOLT team wrapper APIs can cause delays in integration testing and margin impact.","Project Management, Agile"
R09,"The Statement of Work (SoW) for the BOLT rewrite Change Request (CR) is pending final client approval. All discussions with the client have been completed, and we are awaiting the email confirmation. The signed SoW will require additional time to go through United Airlines' finance approval workflow. The client was expected to provide approval during the week of March 3rd. However, due to his leave, the approval has not yet been received. Follow up with the client to obtain email approval next week (week of 17th March) while the formal SoW undergoes processing through the United Airlines approval workflow.","Medium - Delays in CR approval can result in revenue loss and impact resource extension planning.","Project Management, Agile"
R10,"Context: As part of the technical design for the new Bag Tool, AWS has recommended using OpenSearch, introducing a change in the underlying technology stack. Condition: This technology shift is expected to impact the delivery timelines for the Increment 7 release. To address this, United will engage a Subject Matter Expert (SME) on OpenSearch to review and discuss the design implications in detail. Consequence: From a delivery perspective, we have proposed to United that the new Bag Tool be excluded from the Increment 7 release. Once the Proof of Concept (PoC) is completed, we will reassess the required effort and timeline and scope it as a separate initiative.","Medium - Technology change to OpenSearch can cause delivery delays and margin impact on Increment 7 release.","Project Management, Agile"
R11,"Timely approval of all Deliverables","Medium - Delays in client approvals can impact project timelines and deliverable acceptance.",General
R12,"Mapping of Monroney Application Environment with the Integrations to the Systems not available in the Plan yet","Medium - Lack of environment mapping can cause integration issues and planning delays.",General
R13,"Definition of Done not Clear","Low - Unclear DoD can lead to inconsistent deliverable quality and rework.",General
R14,"Port Processing for each Location might be Unique, and need to draw proper Alignment with applicable Support and Business teams - This may pose issues during SIT/UAT","Medium - Unique port processing requirements can cause testing challenges during SIT/UAT phases.",General
R15,"Product Backlog Refinement / Grooming not structured. In Sprint grooming seen","Medium - Unstructured backlog refinement can lead to sprint planning issues and execution delays.",General
R16,"SOW Scope is not mapped with Requirements Tags - This may outfall as Commitment Not fulfilled Per agreement and since this is tied to commercials","High - SOW scope mismatch can result in unfulfilled commitments and commercial disputes.",General
R17,"No plan exists on Support Transition / End to end Support Ecosystem - L1/L2/L3...","High - Absence of support transition plan can cause operational disruption post go-live.",General
R18,"UAT Readiness Not in Project Plan - This will need a structured Test Scenarios and Test Cases mapped to the EPICS / Features / User Stories as applicable","Medium - Lack of UAT readiness planning can delay testing and impact go-live timelines.",General
R19,"Following PBIs that are planned to finish Late in Sprint 4 Have to be elaborated for any dependencies and understand possibilities to finish earlier in Sprint 4 cycle","High - Late sprint completion of UI development can cause UAT delays and impact release schedule.",General
R20,"Decision on VBOX API Changes not available","Medium - Pending decision on VBOX API changes can impact Wave 1 go-live readiness.",General
R21,"Phase-1 currently progressing and Phase-2 expected to start by 1st Feb 2024. Solution Architect who plays the significant role and also MEAN stack developers yet to be identified to kickoff development as per the plan.","Medium - Delay in critical resource deployment can cause financial impact and reputation loss.",General
R22,"Velocity should be in the range of 50+. But team could perform 30% less of planned velocity for last sprint. this caused due to below.. • Team members unplanned leaves • Failed to check prerequisite of the user story. • UI Lead project movement","Medium - Velocity dip can result in reputation loss and impact sprint delivery commitments.",General
R23,"Client is using Sonarqube for code quality measurement. Code coverage along with unit testing yet to be planned. Currently in discussion with client to add an amendment in SOW for using Digital Ascender. Once it is incorporated in SOW to use DA, Team will focus on Unit tests along with code coverage.","Medium - Lack of code coverage and unit testing can impact client relationship and quality standards.",General
R24,"Context: This is fixed bid project where doing Application modernization from sharepoint to MEAN stack Condition: Few of the critical requirements not finalized from client side. Consequence: Project schedule will get affected and margin will be impacted.","Medium - Delay in requirement finalization can cause financial impact and schedule overruns.",General
R25,"CVS Retail Production Support has majorly 4 towers. 1) Rx Growth 2) Front store 3) Supply Chain & Patient Safety 4) Store Operations We observe scope and coverage change across the towers. Hence we are in need of additional resources for CVS Retail Production Support. Planning to submit and secure CR approval.","High - Scope changes requiring additional resources can result in revenue loss and margin impact.",General
R26,"Reduced team size may lead to high risk on delivery & Shift Coverage gaps. CVS Retail Production Support has majorly 4 towers. 1) Rx Growth 2) Front store 3) Supply Chain & Patient Safety 4) Store Operations We are planning for Optimized Production support effective September 01,2024 in order to synchronous with our proposed staffing plan and it demands high risk on delivery and shift coverage issues considering any ad-hoc leaves/national holidays","High - Optimized team size can cause client penalties and reputation loss due to coverage gaps.",General
R27,"Access restriction issues in CVS Retail Production Support across towers to achieve L1 synergy. We are planning to implement L1 synergy across Supply Chain/Patient Safety and Store Operations. But we observe access restrictions from CVS Customer which blocks our L1 Synergy and Optimization Plan.","High - Access restrictions can result in margin impact and revenue loss affecting optimization plans.",General
R28,"Reduced team size may lead to high risk on delivery & Shift Coverage gaps. CVS Retail Production Support has majorly 4 towers. 1) Rx Growth 2) Front store 3) Supply Chain & Patient Safety 4) Store Operations We are planning for Optimized Production support effective September 01,2024 in order to synchronous with our proposed staffing plan and it demands high risk on delivery and shift coverage issues considering any ad-hoc leaves/national holidays","Low - Optimized production support team can cause reputation loss if coverage issues arise.",General
R29,"CVS Retail Prod support - Use cases were analyzed and identified to eliminate manual effort. Recommended possible solutions with latest technology and observed challenges on implementation. CVS SME`s suggested that development team will work on identified automation use cases phase by phase. This leads to delay in implementation of use cases considering development team priroities.","Low - Delays in automation implementation can impact margin and client relationship.",General
R30,"Requested feedback questionaries with CVS SME`s and received feedback across all towers. It demands process standardization on key activities.","Medium - Process standardization gaps can result in client penalties and reputation loss.",General
R31,"Context : AIPO - Delays observed in Implementation process Condition : Comphrensive & Complex process in CVS network Consequence : Delay and Comphrensive process lead to additional timelines in AIPO Implementation","Medium - Complex implementation process can cause margin impact and timeline delays.",General
R32,"Context: The drafted Statement of Work (SOW) for the project has been prepared and submitted for review. Condition: The SOW is still pending formal approval, leaving key elements such as project scope, responsibilities, deliverables, timelines, and cost undefined. Consequence: This may lead to delays in project initiation, misalignment of stakeholder expectations, resource allocation conflicts, and potential cost overruns or contractual disputes.","Low - Pending SOW approval can result in financial impact and client relationship issues.",General
R33,"Losing any team member and not finding the right resource on time in the project can lead to the risk of reduced billing.","High - Resource attrition can cause revenue loss and impact client relationship.",General
R34,"With new team developers joining the team, there is risk of achieving baselined quality & Velocity of the project.","High - New team members can impact quality deliverables and cause reputation loss.",General
R35,"Poor Backlog health. During some period, there can be low work in the project, which will lead to a risk of low team unitization.","High - Poor backlog health can result in low team utilization and client relationship issues.",General
R36,"• With Price and CTA being Query parameter that must be dynamically constructed, there can be a Risk in completing this ticket in current sprint due to its research nature and kranthi going on vacation. • 36.5 SP left (including additional scope) to complete the Non- Logged in and Logged in requirements. It's not possible to complete all stories of Logged guests in Sprint 9. • With Kranthi on leave, only 2 UI developers left to complete the rest of the stories in Sprint 9, achieving 36.5 SP is not possible. The average completion of SP per Sprint is 16 for 2 developers.","High - Resource unavailability and scope challenges can cause data loss and sprint delivery risks.",General
R37,"• 36.5 SP left (including additional scope) to complete the Non- Logged in and Logged in requirements. It's not possible to complete all stories of Logged guests in Sprint 9. • With Kranthi on leave, only 2 UI developers left to complete the rest of the stories in Sprint 9, achieving 36.5 SP is not possible. The average completion of SP per Sprint is 16 for 2 developers","High - Limited developer availability can result in data loss and sprint completion risks.",General
R38,"Due to multiple issues from previous Sprint 8 and Current Sprint 9: • AEM Server migration and Dev server blocker issues delayed the Sprint 8 Stories. • Kranthi's last minute push of AEM code to dev only branch, unleashed couple of bugs, blocked the 'personalized offers page'. Rama and Sanjota worked on to unblock the page. • Spill from Sprint 8: COLLAB-680, COLLAB-697, COLLAB-806, COLLAB-818 – because of blocker issues in Dev server. • QA Team need to catch up with all Spill over and current Sprint stories testing. • With Ashish going on leave for a week, Only Sanjota available for the rest of the Sprint 9.","High - Sprint spillovers and resource constraints can cause data loss and quality issues.",General
R39,"Context: Resource fulfillment issue in the project. Condition: UI Developer (Sathish) is planned to join the project on 19th August. Any change in this may lead to the following risks Consequence: i) New hiring and interview process, which may take several months to close this position. ii) Revenue Loss, until replacement is found.","Medium - UI developer resource fulfillment delays can result in revenue loss.",General
R40,"Context: Resource fulfillment issue in the project. Condition: SDET (Soni) is planned to join the project on 1st Week of September. Any change in this may lead to the following risks Consequence: i) New hiring and interview process, which may take several months to close this position. ii) Revenue Loss for SDET, until replacement is found.","Medium - SDET resource fulfillment delays can cause revenue loss.",General
R41,"Context: Poor Backlog health in the scrum team. Condition: When team is working on bug fix or enhancement, there can be low work in the project, not enough stories in the backlog to pick up, Consequence: This can lead to a risk of low team utilization","High - Poor backlog health can result in reputation loss and low team utilization.",General
R42,"Apigee access need to be created for the new service within 30th of March for the April Delivery","High - Delay in Apigee access can impact April delivery and cause operational disruption.",General
R43,"Unclear or evolving project requirements - Context: Results from ambiguous or frequently changing specifications during the project lifecycle. Condition: Driven by shifting stakeholder expectations lack of clear objectives or ineffective communication. Consequence: Causes rework delays increased costs and challenges in delivering a successful project outcome","Very High - Unclear requirements can result in client relationship issues and financial impact.",General
R44,"Skill gaps within the project team - Context: Occurs when team members lack expertise in critical areas. Condition: Includes failure to identify skill gaps limited training opportunities or mismatch between required and available skills. Consequence: Leads to errors reliance on external consultants and challenges in meeting project requirements","Very High - Skill gaps can cause financial impact and client relationship deterioration.",General
R45,"Miguel contract date to be extended from 8/12 to 8/30 thru Cognixia or take another .net resource from Cognixia","High - Resource ramp down can impact project continuity and delivery timelines.",General
R46,"Non functional requirements are not doccumented","Medium - Lack of NFR documentation can result in reputation loss and quality issues.",General
R47,"Scope mismatch between the one mentioned in SOW vs the actual work done (automation, Stress test etc.) 2. Clauses in the SOW not adhered / tracked in MBR. Miss in Contractual aspects might lead to contractual obligations and may lead to ambiguities w.r.t deliverables, roles, and responsibilities of the resource, amount payable etc.","High - Contractual gaps can cause client relationship issues and commercial disputes.",General
R48,"Requirement tool is JIRA, However not all User Stories / Tasks created in JIRA assigned to team. There is a gap in requirement gathering and tracking. This may lead to product backlog, spill overs, etc.","Medium - JIRA usage gaps can result in reputation loss and tracking issues.",General
R49,"1.SonarQube output is 65% which is a risk and need to fix the leakages in the code quality immediately. Risk should be reported in status reports for transparency even though client is fine with this approach. 2. During audit, it is noticed that SonarQube is not integrated into pipeline for immigration track. Team should analyse and fix the gap at the earliest.","Low - Static code analysis gaps can cause reputation loss and quality concerns.",General
R50,"Noticed partial unit testing only happening in the project. In case of any requirement change, related UTCs are not updated and tracked. This will lead to inadequate test coverage and incomplete validations and will result in defect leakages to further stages. Risk should be reported in status reports for transparency even though client is fine with this approach.","Low - Inadequate unit testing can result in reputation loss and defect leakages.",General
R51,"Presently no release notes are maintained.","Low - Absence of release notes can cause reputation loss and documentation gaps.",General
R52,"Partial unit testing is observed in the project. In case of any requirement change related unit test cases are not updated and tracked. This will result in inadequate test coverage and incomplete validations leading to defect leakages to further stages. It is recommended to report this risk in status reports for transparency even though the client is fine with the current approach.","High - Inadequate unit testing can cause reputation loss and quality degradation.",General
R53,"Partial unit testing is observed in the project. In case of any requirement change related unit test cases are not updated and tracked. This will result in inadequate test coverage and incomplete validations leading to defect leakages to further stages. It is recommended to report this risk in status reports for transparency even though the client is fine with the current approach.","High - Inadequate unit testing can result in reputation loss and defect leakages.",General
R54,"1 resource BGV failed and need to find a replacement.","High - BGV failure requiring replacement can cause financial impact and resource delays.",General
R55,"Dhivya Bharathi identified as a replacement for Anto. Her Citi BGV check started on 22-Feb-2023. BGV need to be completed on/before 20 working days.","High - Delay in BGV completion can cause financial impact and onboarding delays.",General
R56,"Vibha's Citi access request not raised yet","High - Delay in access provisioning can result in financial impact and onboarding delays.",General
R57,"Priyesh (Onshore operations team) not shared the BGV completion document to Lynn.","High - BGV documentation delays can cause reputation loss and financial impact.",General
R58,"We received the final feedback from Reema to roll off Devesh. And we initiated the roll off on 31-May-2023. Replacement for Devesh will be joining on 21-Jun-2023","Medium - Performance-related resource replacement can impact client relationship.",General
R59,"Citi PMO project SOW going to end on 30-Jul-2023. Client wants to HOLD the onboarding process of the replacement resource at the moment due to potential funding issue for SOW renewal & If the SOW renewal does get accepted, it could potentially be for 2 resources instead of 4 resources.?Note - It's still in discussion & no final decision taken","High - SOW extension uncertainty can result in client relationship issues and financial impact.",General
R60,"Risk – Network Connectivity issue. Context: As part of WFH, the connectivity to the network by the resources are via mobile hotspot/ dongles/ broadband connectivity. Condition: There are minor latency observed in network connectivity but there is no noticeable delay. There are also instances of power failures resulting in connectivity issues. Consequences: As team will operate from WFH for a longer period, having network issues and power failures will lead to delay in resolving tasks which could potentially impact the deadlines/SLA's.","Medium - Remote work connectivity issues can cause financial impact and SLA breaches.",General
R61,"Vendor callers have reported being turned away password reset. these were not in scope prior or missed by DSG in KT. Ascendion will take on support once DSG creates an SOP, the volime of calls expected are minimal and non-impacting to team.expectation of no more than 5 calls a week. DSG will need to determine the level of security for callers around verification and authentication to allow Ascendion to make the password reset as set in SOP..","High - VDR caller support gaps can result in client relationship issues and data loss.",General
R62,"Password reset team ticket creation not matching CISCO report","Very High - Ticket entry discrepancies can cause data loss and reporting issues.",General
R63,"today CSAT feature is not a part of JIRA.","Medium - Absence of CSAT tracking can impact client relationship and satisfaction monitoring.",General
R64,"We have created a list of new cats and sub cats to track and trend data from jira. these are custom fields that we use to collect top 10 trends - order status - dl delay status - reboots - EOM - control M - dataload -client maintenance - paygate - db alerts - gift cards - address valiation - athlete issues - offboarding - store location - network issues - ttr - t ack - alert triggered - alert escalated - power outages - emergency close","High - Category and sub-category misalignment can result in client relationship issues and data loss.",General
R65,"JIRA has aging tickets by date of entry but not auto generated SLA impact as part of tool. ITIL process will be implemented with SNOW in 2026","Medium - SLA configuration gaps can cause financial impact and client penalties.",General
R66,"KPMG has a long resource onboarding process, and it is not initiated yet for the developers as on 3rd Dec. We have escalated to the sponsor Narmadha. Any further delay in onboarding will delay the planned project end date(27th Feb 2026).","High - Resource onboarding delays can result in financial impact and revenue loss.",General
R67,"Deleting a security group, instead of removing a user from group. This would impact the number of users in the group.","Low - Incorrect security group deletion can cause data loss and access issues.",General
R68,"The transition to a hybrid work model or full return to office (RTO) may result in employee dissatisfaction, decreased productivity, or attrition if not managed effectively.","High - Hybrid work transition can cause financial impact and client penalties.",General
R69,"Cause: The internal tester has resigned, resulting in the absence of a dedicated resource for testing. Condition: There is no internal tester available to perform critical testing activities, including functional, regression, and integration testing. Consequence: This could lead to delays in the testing phase, increased chances of undetected defects, compromised product quality, and potential delays in project timelines.","Medium - Internal tester unavailability can result in financial impact and testing delays.",General
R70,"In SOW it was mentioned that cohort definition will be identified and created as part of initial discovery phase. But as per multiple discussion with Customer the definition will not be static will keep on changing as per but production migration plan.","High - Undefined cohort definition can cause data loss and scope ambiguity.",General
R71,"Development environment was supposed to be provided within 1 week of project start but delay in provisioning the environment from ShiftKey would impact the project plan.","Very High - Environment provisioning delays can result in client penalties and reputation loss.",General
R72,"We will be using customer Azure subscription to install/configure AVA+, DeX and DTS. We might end up with some unknown issues while we are working on this.","Medium - Installation challenges can cause financial impact and deployment delays.",General
R73,"Data migration for this project involves lot of data sources and complex mapping between different database & systems. Its important to understand the data and mapping during initial phase.","High - Data source understanding gaps can result in data loss and client relationship issues.",General
R74,"As part of contract Customer is going to provide access to new Sandbox env, existing Pre-Prod and Prod env.","High - Infrastructure readiness delays can impact client relationship and delivery timelines.",General
R75,"As part of data migration customer is going to provide the mapping in excel which would give mappings from entity level between Sch 1 & Sch X","High - Mapping document delays can cause financial impact and data loss.",General
R76,"ShiftKey takes lot of time in approving CR's which impacts the budget and delay as per original CR timelines.","High - CR approval delays can result in financial impact and margin loss.",General
R77,"As new developments and releases are introduced in Schedule X, there is a possibility that the Upgrade environments may not be updated in a timely manner, leading to inconsistencies and the environments being out of sync.","Very High - Schedule X release impacts can cause data loss and financial impact.",General
R78,"We will not have below 4 integration recipes developed and available for testing during the pilot phase Census IN, Schedule Out, PTO Balance IN/Show, Approved PTO IN end-to-end testing of migration of data with these recipes will not be possible.","Very High - Missing integration recipes can result in data loss and margin impact.",General
R79,"Scaling buildings is creating few problems. - Sch X Application - Auth0 Throttling - ADF Pipeline","Very High - Migration scaling issues can cause data loss and revenue impact.",General
R80,"Context: The BOM Planogram project Phase-1 requires Azure OpenAI and Doc Intelligence in CVS network to work with. Condition: AI Governance approval is received but the provisioning of the Infrastructure is not yet complete, requests are raised. Consequence: Delay in getting the approval may result in extension of the POC project beyond deadline.","Medium - Infrastructure provisioning delays can cause margin impact and timeline extensions.",General
R81,"Context: The project plan targets development completion by 28 Feb, testing and deployment by 31 Mar, and hypercare completion by 30 Apr. Condition: The required client cloud infrastructure (except Azure OpenAI) is not yet provisioned and is subject to multiple internal reviews and approval cycles. Consequence: Delays in environment availability may extend the overall project timeline, potentially requiring resource extensions and impacting planned project margins.","Low - Client infrastructure delays can result in margin impact and timeline extensions.",General
R82,"Risk that we have limited time to run perf test and fix any finding, KPMG has limited expectation for pilot and therefore we might be okay","High - Limited performance testing time can impact client relationship and quality.",General
R83,"Determine how routiens will be executed, one fund per routine or entire fund","High - Routine execution approach uncertainty can cause client relationship issues.",General
R84,"P2-CSC-Multi-Select-Dropdowns","High - Multi-select dropdown implementation can impact client relationship.",General
R85,"P2-CSC- Fund and Routine Navigation Panel","High - Navigation panel implementation can affect client relationship.",General
R86,"P2-CSC- Fund and Routine Navigation Panel","High - Navigation panel changes can impact client relationship.",General
R87,"P2-EX-QAB-Collapsible More Info and C&A Section","High - UI containerization changes can affect client relationship.",General
R88,"P2-CSC- Alerts/Notifications","High - Alerts and notifications implementation can impact client relationship.",General
R89,"P2-CSC- Legend","High - Legend implementation tracking can affect client relationship.",General
R90,"P2-CSC- More Information","High - More information feature can impact client relationship.",General
R91,"P2-CSC- Completeness and Accuracy","High - Completeness and accuracy screen can affect client relationship.",General
R92,"P2-CSC- Export","High - Export functionality changes can impact client relationship.",General
R93,"Requirement - P2- CSC- Stepper Icons","High - Stepper icons implementation can affect client relationship.",General
R94,"P2-CSC- Conclusion and Additional Procedures","High - Conclusion and procedures migration can impact client relationship.",General
R95,"P2-CSC- Source Data Viewer","High - Source data viewer changes can affect client relationship.",General
R96,"P2 - CSC - Email Notifications (Old number 9199)","High - Email notifications implementation can impact client relationship.",General
R97,"Efforts to identify and retain key team members Implement formal onboarding/transition plans and ensure availability of onboarding collateral Over the last 12 months, lost key team members 2x DB Architects (Yuri, Gokhan), Solution Architect (Rakesh), Product Owner (Tina), Delivery Leader (Sudheep), Testing Lead (Kinjal)","Low - Key resource attrition can result in client relationship issues.",General
R98,"Set-up of development, test and production infrastructure in the global tenant. Timeline needed to ensure alignment to current development/project timing.","High - Infrastructure setup delays can impact client relationship and timelines.",General
R99,"Delays in requirement documentation, updated effort estimations, and timelines for Phase 2. New dates needed for estimations and SOW","High - Phase 2 requirement delays can affect client relationship.",General
R100,"Documentation and alignment of business, functional and technical requirements. Gaps in alignment to new Jira process and use","Medium - Documentation gaps can result in client relationship issues.",General
R101,"KPMG has a company wide hiring freeze , requests raise dfor onboarding new members have been on hold - impact to timeline","High - Hiring freeze can cause client relationship issues and timeline impact.",General
R102,"Complete POCs aligned to business requirements to understand how to implement / use technology within the solution Reduce scope of POCs in Phase 2 to keep development team focused on application developmente","Medium - Technology inexperience can result in client relationship issues.",General
R103,"n yesterday's QA Sync up call, we got to know that there is a new environment 'QA' going to get in which will be the final one. We do not know much about these details and on the timelines of this new environment yet. It looks like Global Helix may not satisfy certain of the production like aspects and hence this new environment. With Helix, QA created a very strict timelines to complete execution of all the requirements including re-testing every item that were initially tested in DevTest and Global Test. This also included one hour of additional work per day from each QA during Helix retesting period. This plan was already stringent, and any deviation would pose a risk in QA completion on time. Now, with this new environment, 'QA', we heard in the QA Sync up call that we may not need entire retesting as new 'QA' will be getting in. Rather a regression will be enough. Currently we do not have the details on the new 'QA' timelines. But this is going to be a risk for QA to complete as planned with the additional retesting getting in place. Also switching into multiple environments involves additional rework from QA. 'Helix' environment readiness check / regression 'QA' environment readiness check 'QA' environment retesting of all the executed requirements in DevTest, Global Test, Global Helix","High - New QA environment can cause client relationship issues and testing delays.",General
R104,"Coding quality and development process enhancements (including Git branching strategy) to correct Phase 1 gaps.","Low - Code quality process gaps can result in client relationship issues.",General
R105,"Missing technical specifications in requirements. To be completed prior to starting development to ensure alignment of technical approach with business requirements; identify and solution areas of highest complexity/uncertainty prior to starting development.","High - Missing technical specifications can cause client relationship issues.",General
R106,"Finalize new testing process between KPMG Testing Team and Ascendion QA team. Enhance testing process to correct gaps identified in Phase I, and align with SAT testing requirements. Design and execution of Testing approach.","Low - Testing process gaps can result in client relationship issues.",General
R107,"Key focus areas: .NET and Full Stack developers with business understanding of objectives Testing Excel, OfficeJS and Office Apps Data modelling Business analysts","High - Skill alignment gaps can cause client relationship issues.",General
R108,"KPMG has involved perf test team but there are no dates when can perf test ve conducted, if there are any finding, it will be hard to fix it in time","High - Performance test timing uncertainty can impact client relationship.",General
R109,"QA , if they run apis can accesss client data - this is a risk and is being disucssed to seee how to restrict access and enable QA validation of API","High - QA API access can result in client relationship issues and data breach risks.",General
R110,"Implementation of this requirement will be delayed as requirement is yet to be finalised - JIRA 24398","High - Attribute mapping requirement delays can affect client relationship.",General
R111,"Pos who got feedback from client about not understanding, documenting correctly continue to work on Phase 2 reqs,","High - Requirements documentation quality can impact client relationship.",General
R112,"JIRA #","High - Missing Phase 2 estimates can affect client relationship.",General
R113,"Limited visibility on rotuines readiness","High - Routine requirement readiness gaps can impact client relationship.",General
R114,"Old Risk","High - Late routine testing integration can cause client relationship issues.",General
R115,"old risk","High - Security findings remediation can impact client relationship.",General
R116,"JIRA recorded to ensure there is no impact to timeline because of timeline","Low - Summer time off can affect client relationship and timelines.",General
R117,"Old Risk, do not have the actual data","High - Syncfusion bugs can impact client relationship.",General
R118,"Old Risk, do not have the actual data","High - Unit testing gaps can affect client relationship.",General
R119,"Princess Cruises Lines is a brand that we support as part of global database administration support. As part of this support, we have automated monitoring of all parameters that will impact availability of databases. One of the key parameters monitored is storage, which results in an alert, if any mount / folder exceeds 80% used storage PCL has its own ServiceNow instance as against the global service now instance (carnival corp) that we use for converting our alerts into tickets for action. Due to lack of integration between Global and PCL ServiceNow instances, in case OS mount/folder points reach above threshold, our monitoring alerts are not reaching PCL ServiceNow for OS team action. As a result, storage alerts that need to be actioned by PCL System team will not be actioned timely leading to critical PCL database availability issues and huge impact for Business","High - ServiceNow integration gaps can result in revenue loss and client relationship issues.",General
R120,"Context – SOW extension submitted as on 21stJuly 2024 post multiple discussions on conflicting requirements from Carnival Corp. Condition – Under "Internal review" from customer side. No more scope or major changes expected. Being followed up for signature. ETA not known. Consequence – Absence of SOW/SOW sing-off and clarity on contractual aspects might lead to contractual obligations and may lead to ambiguities w.r.t deliverables, roles and responsibilities of the resource, amount payable etc.","High - SOW unavailability can cause revenue loss and contractual ambiguities.",General
R121,"Oracle Versions 11 that is no more supported by oracle and 12 for which extended support will be stopped by July 2025​ Impact: Oracle will not support any issues with these databases. This will have considerable impact on business operations if not addressed timely​","Very High - Unsupported Oracle versions can result in margin impact and operational disruption.",General
R122,"Business critical databases including SIEBEL Marketing / customer care (PCPRD) cannot be decrypted if required","Very High - Missing encryption keys can cause data loss and business disruption.",General
R123,"a. We are finding it difficult to get Oracle skilled resources in the market if any attrition happens. It takes 4 to 6 months to get a resource according to the project fitment.","High - Oracle skilled resource scarcity can result in client relationship issues and revenue loss.",General
R124,"There were only 4 resources available to support 16x5. Due to limited number of resources and lack of backup support, there is a potential risk related to coverage during unforeseen circumstances. We recommended using the 24x5 and 24x2 shift plans and its accepted by the customer.","Very High - Limited 16x5 resource availability can cause client relationship issues and revenue loss.",General
R125,"2 of the resoruce under Chris team has been consistently unavailable to address issues over the past few weeks, attributing it to connectivity problems, but there are concerns as he doesn't consistently attempt to reconnect or log in after issue resolution, and current attempts to contact him show no response.","High - Resource unavailability can result in reputation loss and client relationship issues.",General
R126,"Data Quality team Offshore/Onshore Leads to play an active role in mentoring and monitoring the work of team; Offshore developers are not showing confidence with Data Quality lifecycle/process, Offshore developers are not aware of SQL Profiling & data warehouse concepts","High - Skill gaps in data quality team can cause reputation loss and client relationship issues.",General
R127,"Context: The following SLA requirements is mentioned in the SOW. "Maintaining SLAs will be a shared responsibility. All SLA requirements will be discussed mutually and agreed post transition before Go-Live. o A change request will be approved if the headcount of 81 needs any additions based on the baselined SLAs to be met. Non-performance discount shall be applied to the track which has SLA deviation and not the entire SOW invoice amount for the month." Condition: However, the complete traceability and measurement of the SLA will be done once fit shoring is completed. Metrics data collection is a challenge now as we many contractors at onshore. Consequence: Any penalties applicable as per SOW will be levied on Ascendion.","Very High - SLA commitment gaps can result in financial impact and penalties.",General
R128,"We are currently hiring and onboarding resources to the LD account across different Value Streams. Both Ascendion and LD BGV checks are applicable for the resources. The Ascendion BGV check takes at least two months, and Client BGV takes two to three weeks for completion. We can onboard the resources and request for LD accesses only after at least LD BGV completion. Delay in onboarding resources could lead to client concerns.","High - Resource onboarding delays can cause client relationship issues and reputation loss.",General
R129,"Transition can not start due to limited availability of loanDepot SMEs for lead engineering.","High - Limited SME availability can impact transition and cause delivery delays.",General